カテゴリー	サブカテゴリー	インサイト・悩み	備考
デジタル・採用ツールへの不安・無知	何から始めればいいかわからない	言葉の意味も必要度もわからない（リーフレット、WEBサイト）	
デジタル・採用ツールへの不安・無知	コストへの不安	知らないツールにお金を払うのが怖い	
デジタル・採用ツールへの不安・無知	コストへの不安	デジタルは高いという思い込み	
デジタル・採用ツールへの不安・無知	コストへの不安	お金がかかりそうだから、最初から避けている	
デジタル・採用ツールへの不安・無知	仕組みが分からない	デジタルの仕組みが分からないから成果を判断できない	
デジタル・採用ツールへの不安・無知	判断・決断の困難	どれが正しい選択か分からないため決断できない	
デジタル・採用ツールへの不安・無知	判断・決断の困難	おすすめされても、本当に良いか判断できない	
デジタル・採用ツールへの不安・無知	判断・決断の困難	専門家の言われるがままになるのが不安	
デジタル・採用ツールへの不安・無知	失敗への恐怖	失敗したら責任を取れない、という恐怖が行動を止める	
デジタル・採用ツールへの不安・無知	失敗への恐怖	自分の無知が露呈するのが怖い	
デジタル・採用ツールへの不安・無知	過去の失敗体験	昔ネット広告に失敗した経験がトラウマ	
デジタル・採用ツールへの不安・無知	過去の失敗体験	聞いていたほど成果が出なかったので信用できない	
デジタル・採用ツールへの不安・無知	採用ビジネスへの不信感	「採用ビジネスへの不信感」成果の出ないギャンブル（広告）や、高額な手数料ビジネスに対する嫌悪感	
競争・市場環境の課題	競合他社との差別化	人材面での競争優位性を確立し、競合他社との差別化を実現したい	

