,No.,分類（大項目）,分類（中項目）,分類（小項目）,優先度,"基礎項目調査書
調査対象",施策名,施策概要
,51,Phind特化,技術的最適化,コードスニペットのマークアップ,-,対象外,コードの適切なマークアップ,コードスニペットがAIに正しく解釈されるよう、適切にマークアップし、文脈情報（ファイル名、変数名など）を明確に記述する。
,52,DeepSeek特化,コンテンツ戦略,コード・推論関連コンテンツ,-,対象外,コード生成・論理的推論向けコンテンツの最適化,DeepSeek-CoderやR1モデルを考慮し、正確なコードスニペット、APIドキュメント、論理的な説明や根拠が明確なコンテンツを作成する。
,53,Komo AI特化,コンテンツ戦略,コミュニティでの言及促進,-,対象外,オンラインコミュニティでの情報発信とエンゲージメント,Komo AIはオンラインコミュニティの情報を参照するため、関連コミュニティで積極的に情報発信し、肯定的な言及を得る。
,54,Komo AI特化,コンテンツ戦略,多様な検索モードへの対応,-,対象外,質問応答・探索モード向けコンテンツ,Komo AIの「Ask（質問）」や「Explore（探索）」モードを意識し、直接的な質問への回答や、トピックの深掘りに役立つ情報を提供する。
,55,RAG最適化,RAG最適化,情報のチャンク化と構造化,-,対象外,RAG向けコンテンツのチャンク化,RAGシステムが情報を効率的に検索・参照できるよう、コンテンツを意味のある小さな塊（チャンク）に分割し、各チャンクが自己完結的な情報を持つようにする。
,56,RAG最適化,RAG最適化,ベクトルデータベースとの親和性,-,対象外,セマンティックな豊かさの追求,キーワードだけでなく、関連概念や同義語を自然に含め、ベクトル検索におけるセマンティックな類似度を高める。
,57,その他,効果測定,AI回答内での引用・言及率の追跡,-,対象外,AI回答内でのブランド・コンテンツ言及率の監視,主要なAI検索エンジンで自社関連の質問を行い、回答内で自社ブランドやコンテンツがどの程度、どのように引用・言及されているかを定期的に追跡・分析する。
,58,その他,効果測定,参照トラフィック分析,-,対象外,AIプラットフォームからの参照トラフィックの分析,Google Analytics 4などで、AI検索エンジンやチャットボットからの参照トラフィックを特定し、その質（滞在時間、CVRなど）を分析する。
,59,その他,効果測定,ブランドリフト調査,-,対象外,AI経由でのブランド認知度・好意度変化の測定,定期的なアンケート調査やソーシャルリスニングを通じて、LLMO施策がブランド認知度や好意度にどのような影響を与えているかを測定する。
,60,その他,倫理的課題,ハルシネーション対策,-,対象外,事実に基づいた正確な情報提供の徹底,AIが誤情報（ハルシネーション）を生成するリスクを低減するため、常に事実に基づいた正確な情報を提供し、曖昧な表現を避ける。
,61,その他,倫理的課題,バイアス軽減への配慮,-,対象外,多様な視点と公平な情報提供,AIの学習データに含まれる可能性のあるバイアスを助長しないよう、コンテンツ作成において多様な視点を取り入れ、公平な情報提供を心がける。
